"timestamp","total_users","active_users","inactive_users"
"1627513202",1766,232,1534
"1627599604",1771,234,1537
"1627686002",1774,233,1541
"1627772404",1775,222,1553
"1627858803",1776,223,1553
"1627945202",1778,224,1554
"1628031603",1781,221,1560
"1628118004",1781,216,1565
"1628204404",1784,209,1575
"1628290803",1786,209,1577
"1628377204",1788,198,1590
"1628463603",1789,198,1591
"1628550003",1791,200,1591
"1628636404",1794,202,1592
"1628722804",1799,197,1602
"1628809203",1802,194,1608
"1628895604",1804,193,1611
"1628982004",1805,190,1615
"1629068403",1807,192,1615
"1629154803",1808,192,1616
"1629241204",1810,190,1620
"1629327603",1816,190,1626
"1629414004",1819,188,1631
"1629500403",1822,186,1636
"1629586803",1823,181,1642
"1629673203",1823,179,1644
"1629759603",1824,179,1645
"1629846002",1831,180,1651
"1629932402",1835,179,1656
"1630018803",1840,182,1658
"1630105203",1846,184,1662
"1630191605",1847,181,1666
"1630278004",1847,181,1666
"1630364402",1849,180,1669
"1630450803",1856,186,1670
"1630537203",1868,196,1672
"1630623604",1871,195,1676
"1630710004",1874,197,1677
"1630796404",1874,194,1680
"1630882803",1874,194,1680
"1630969204",1876,196,1680
"1631055604",1881,202,1679
"1631142005",1888,211,1677
"1631228404",1895,221,1674
"1631314806",1899,224,1675
"1631401205",1902,224,1678
"1631487605",1904,226,1678
"1631574004",1908,230,1678
"1631660405",1912,238,1674
"1631746804",1923,246,1677
"1631833205",1928,249,1679
"1631919604",1932,253,1679
"1632006004",1933,240,1693
"1632092405",1933,240,1693
"1632178805",1935,242,1693
"1632265205",1941,247,1694
"1632351604",1945,248,1697
"1632438003",1948,240,1708
"1632524405",1950,237,1713
"1632610808",1950,233,1717
"1632697204",1951,234,1717
"1632783604",1959,241,1718
"1632870003",1964,242,1722
"1632956404",1969,241,1728
"1633042804",1974,243,1731
"1633129203",1978,244,1734
"1633215605",1978,239,1739
"1633302005",1980,238,1742
"1633388405",1981,238,1743
"1633474806",1989,242,1747
"1633561204",1994,241,1753
"1633993203",2004,239,1765
"1634079604",2007,243,1764
"1634166005",2010,242,1768
"1634252403",2018,250,1768
"1634338804",2023,253,1770
"1634425205",2022,252,1770
"1634511604",2024,254,1770
"1634598005",2030,259,1771
"1634684403",2039,266,1773
"1634770805",2042,266,1776
"1634857205",2045,263,1782
"1634943604",2051,258,1793
"1635030005",2053,259,1794
"1635116403",2054,259,1795
"1635202805",2057,259,1798
"1635289204",2067,265,1802
"1635375604",2074,263,1811
"1635462005",2084,281,1803
"1635548405",2087,287,1800
"1635629123",2088,288,1800
"1635630898",2088,288,1800
"1635634804",2088,288,1800
"1635724804",2089,288,1801
"1635811204",2094,293,1801
"1635897603",2096,292,1804
"1635984005",2101,296,1805
"1636070405",2106,300,1806
"1636156805",2111,300,1811
"1636243205",2113,299,1814
"1636329605",2114,298,1816
"1636416004",2121,305,1816
"1636502406",2131,313,1818
"1636588805",2136,311,1825
"1636675204",2143,314,1829
"1636761604",2146,315,1831
"1636848005",2148,315,1833
"1636934405",2149,316,1833
"1637020805",2153,318,1835
"1637107205",2156,320,1836
"1637193605",2163,323,1840
"1637280004",2167,323,1844
"1637366406",2173,328,1845
"1637452805",2174,326,1848
"1637539204",2176,327,1849
"1637625605",2180,331,1849
"1637712006",2182,331,1851
"1637798404",2186,335,1851
"1637884805",2190,335,1855
"1637971206",2193,325,1868
"1638057606",2193,314,1879
"1638144005",2193,313,1880
"1638230405",2193,312,1881
"1638316805",2193,304,1889
"1638403206",2199,303,1896
"1638489604",2209,312,1897
"1638576005",2209,304,1905
"1638662407",2210,305,1905
"1638748805",2211,305,1906
"1638835206",2221,316,1905
"1638921605",2227,321,1906
"1639008006",2229,322,1907
"1639094405",2232,320,1912
"1639180805",2238,323,1915
"1639267205",2240,324,1916
"1639353606",2240,321,1919
"1639440005",2249,328,1921
"1639526405",2257,336,1921
"1639579394",2258,315,1943
"1639612806",2259,316,1943
"1639785605",2269,312,1957
"1639872005",2269,304,1965
"1639958405",2269,304,1965
"1640044805",2270,304,1966
"1640131204",2273,305,1968
"1640217605",2276,299,1977
